poll_id,pollster,date_published,date_start,date_end,n,method,befragte_raw,zeitraum_raw,cdu_csu,spd,gruene,fdp,afd,linke,bsw,sonstige,raw_vote_share_sum,rejection_reason
051306204bf713d7106cb1d2db343cf2710ea0473d38c3651f0874c63712ec65,Forsch’gr.Wahlen,NA,NA,NA,NA,unknown,NA,NA,39,36,11,5,0,4,NA,5,100,V3: date validity check failed; V5: null in required field (pollster/date_published)
239eb4bcac9f04d4df13e0c6892e5ef065400d2971d169862783e29fcb65392c,Forsch’gr.Wahlen,NA,NA,NA,NA,unknown,NA,NA,41,35,11,5,0,4,NA,4,100,V3: date validity check failed; V5: null in required field (pollster/date_published)
5f63f8999cef8ff2cae42e6244d741d8189fc66e6335b761c0d92955f08d389b,Forsch’gr.Wahlen,NA,NA,NA,NA,unknown,NA,NA,37,38,11,6,0,4,NA,4,100,V3: date validity check failed; V5: null in required field (pollster/date_published)
a01ccf6e24f9a2ee4265d87ea9367d70d98e6ad92d8337c21fa55bf4b6a22c6d,Forsch’gr.Wahlen,NA,NA,NA,NA,unknown,NA,NA,43,33,12,4,0,4,NA,4,100,V3: date validity check failed; V5: null in required field (pollster/date_published)
04a2f6cd04d6d181326b1dbcb2436db84b9aed650ddf622466efb5db3b91a308,Forsch’gr.Wahlen,NA,NA,NA,NA,unknown,NA,NA,43,36,9,5,0,4,NA,3,100,V3: date validity check failed; V5: null in required field (pollster/date_published)
c951fd1502107f353358de0302d6601f0ea2537567f6d4fe53430875b7efc533,Forsch’gr.Wahlen,NA,NA,NA,NA,unknown,NA,NA,42,37,9,5,0,4,NA,3,100,V3: date validity check failed; V5: null in required field (pollster/date_published)
1cb49200b53d83991285eca09e4d07b8fccd46a076d597d50f99e135411867d3,Forsch’gr.Wahlen,NA,NA,NA,NA,unknown,NA,NA,42,34,12,5,0,4,NA,3,100,V3: date validity check failed; V5: null in required field (pollster/date_published)
a251ac18b063090bc09a4dc09ed392585309fcad506197f4d6453fc3aad890ee,Forsch’gr.Wahlen,NA,NA,NA,NA,unknown,NA,NA,42,37,8,6,0,4,NA,3,100,V3: date validity check failed; V5: null in required field (pollster/date_published)
bc7af408a4ce08429e5a84619e9365bf7c2ee7f659dbe9abe2fae2fd7656200c,Forsch’gr.Wahlen,NA,NA,NA,NA,unknown,NA,NA,43,31,12,6,0,4,NA,3,99,V3: date validity check failed; V5: null in required field (pollster/date_published)
91e3129f137c5a7acfc76b4c6edbf1769d99609230b431029825ee0852e51e51,Forsch’gr.Wahlen,NA,NA,NA,NA,unknown,NA,NA,37,39,9,6,0,4,NA,5,100,V3: date validity check failed; V5: null in required field (pollster/date_published)
5ee5d78e3f06e3d03e9158b9c0456fb7f7e4de1349bd7228e1689122423af117,Forsch’gr.Wahlen,NA,NA,NA,NA,unknown,NA,NA,42,33,12,5,0,4,NA,4,100,V3: date validity check failed; V5: null in required field (pollster/date_published)
76b767fe950ac2bc61418e5663acfd3494dc31bd684b78409a150d34e8eca427,Forsch’gr.Wahlen,NA,NA,NA,NA,unknown,NA,NA,37,38,10,6,0,4,NA,5,100,V3: date validity check failed; V5: null in required field (pollster/date_published)
a9f9a6a97958a522c3716a1b61b089b75fcec7c58df82f7dc93857cfa3ab11a7,Forsch’gr.Wahlen,NA,NA,NA,NA,unknown,NA,NA,38,38,10,5,0,4,NA,5,100,V3: date validity check failed; V5: null in required field (pollster/date_published)
bbaef8aafe7e813c2565d917662208372bec3391ed34098c3b12dc82831217c3,Forsch’gr.Wahlen,NA,NA,NA,NA,unknown,NA,NA,42,33,12,6,0,4,NA,3,100,V3: date validity check failed; V5: null in required field (pollster/date_published)
a65bef689bf9efc4c0a89cd10787a17fedaec6ff9327572270c734d1c4633bad,Forsch’gr.Wahlen,NA,NA,NA,NA,unknown,NA,NA,40,35,11,5,0,4,NA,5,100,V3: date validity check failed; V5: null in required field (pollster/date_published)
11f62ae976fb3cc81c32a0363d73b20a0b3992b0e95c97be9c9ad45465373e04,Forsch’gr.Wahlen,NA,NA,NA,NA,unknown,NA,NA,36,40,10,6,0,4,NA,4,100,V3: date validity check failed; V5: null in required field (pollster/date_published)
72e6fcfdb2efa1ec2e9b8073e41e91e48496ff7995814a032a5e2e699e6b1b84,GMS,2007-11-27,2007-11-19,2007-10-22,1004,unknown,1.004,19.11.–22.10.,39,29,9,9,0,11,NA,3,100,V3: date validity check failed
69a7635d403471524aa5b0574c4996cd11c11d83e70f111d95ebf97f55191c44,GMS,2023-12-12,2023-12-06,2023-12-11,1001,phone,T• 1.001,06.12.–11.12.,32,14,15,5,22,2,NA,0,90,"V1: vote_share_sum=90.0 outside [95,105]"
d9eeeec87de62182bf157a2636bf6c07eb882a5a24b6a1d722d958d3e4588332,GMS,2024-01-03,2023-12-27,2024-01-02,1004,mixed,TOM• 1.004,27.12.–02.01.,33,14,13,6,23,3,NA,0,92,"V1: vote_share_sum=92.0 outside [95,105]"
1c07ffc25e6ae2481593d94f7ef3cb21509357b9082bb14962d01758f7a985e8,GMS,2024-02-06,2024-01-31,2024-02-05,1012,mixed,TOM• 1.012,31.01.–05.02.,32,16,13,4,18,2,NA,0,85,"V1: vote_share_sum=85.0 outside [95,105]"
aaa4715a20922ee0a5eb545501d86ef870176374ae9e5366c15d067ebcda97f0,GMS,2024-05-07,2024-04-30,2024-05-06,1005,mixed,TOM• 1.005,30.04.–06.05.,31,15,14,4,18,2,NA,0,84,"V1: vote_share_sum=84.0 outside [95,105]"
afb431328659eb51dc808f2ec1029d6352d88ba9c84e12171d5a2a24daf2886f,GMS,2024-06-18,2024-06-11,2024-06-17,1007,mixed,TOM• 1.007,11.06.–17.06.,31,14,14,5,18,3,NA,0,85,"V1: vote_share_sum=85.0 outside [95,105]"
83721b259ba48c8ca08b8801ad540b7162b2a54ac8316fbf6656cb479bc2172c,GMS,2024-08-13,2024-08-06,2024-08-12,1006,mixed,TOM• 1.006,06.08.–12.08.,32,14,12,5,17,3,NA,0,83,"V1: vote_share_sum=83.0 outside [95,105]"
600f3639de539a10bf21b6c9beb39b91899097ac4909606c66a7e38d0ef5dc88,GMS,2024-09-17,2024-09-11,2024-09-16,1006,mixed,TOM• 1.006,11.09.–16.09.,34,14,11,4,18,2,NA,0,83,"V1: vote_share_sum=83.0 outside [95,105]"
76faf224c36c0bf2387c888263dae9e0f9a09cab6dc98b4a231a06c8f53f8390,GMS,2024-12-03,2024-11-27,2024-12-02,1005,mixed,TOM• 1.005,27.11.–02.12.,34,15,13,4,17,3,NA,0,86,"V1: vote_share_sum=86.0 outside [95,105]"
e231f6dcbd0dff17e0047bd992e75d904671e4d8baef658d92776c87425cee22,GMS,NA,NA,NA,2026,unknown,2.026,30.10.–04.12.,47,29,11,6,0,4,NA,3,100,V3: date validity check failed; V5: null in required field (pollster/date_published)
107d44c7030b29c78642f13c51cb01ca323eca6723dec4ffead46a0d0ac4a979,INSA,2017-02-02,NA,NA,NA,unknown,NA,NA,0,0,0,0,0,0,NA,0,0,"V1: vote_share_sum=0.0 outside [95,105]"
d5c5bbd6aface8e907b5519f42f33fd2156d3b55bcb0c1cad8d0f9e37af688ba,Infratestdimap,2005-06-17,2005-06-14,NA,1000,unknown,1,14.06.–15.06,46,28,8,7,0,5,NA,0,94,"V1: vote_share_sum=94.0 outside [95,105]"
6b5b06c38f1437b888b3fcff037994a4c4cc69aba7f172f72431ddcc1c036d54,Infratestdimap,NA,NA,NA,NA,unknown,1,26.08.–03.09.,40,39,7,8,0,4,NA,2,100,V3: date validity check failed; V5: null in required field (pollster/date_published)
6668cd5821a9e39efa5f85859a198c69f7be02c383f20c20925702ca496aed55,Infratestdimap,NA,NA,NA,NA,unknown,NA,NA,40,32,7,12,0,6,NA,3,100,V3: date validity check failed; V5: null in required field (pollster/date_published)
29f200915ad6887c8ac5eb37cd7775ccfd4f6a21c5f9d34924a1b1907af39cdc,Infratestdimap,NA,NA,NA,NA,unknown,NA,NA,40,34,7,9,0,7,NA,3,100,V3: date validity check failed; V5: null in required field (pollster/date_published)
ab8bf547d2beca128fb403ded647c4e7e96706c1a3e7d8b91baee7a1935350fa,Verian(Emnid),NA,NA,NA,NA,unknown,NA,NA,35,32,9,10,0,10,NA,4,100,V3: date validity check failed; V5: null in required field (pollster/date_published)
c4aff2c8ed7205d617f72a7d08af167bcc2baba59eb075a6c4c10238388a23bf,Verian(Emnid),NA,NA,NA,NA,unknown,NA,NA,41,34,6,9,0,5,NA,5,100,V3: date validity check failed; V5: null in required field (pollster/date_published)
2d0ac0078ed64a2ec5d396515f3bd005c298a35e666e6fbd5bf03306453065b9,Verian(Emnid),NA,NA,NA,NA,unknown,NA,NA,39,35,6,11,0,6,NA,3,100,V3: date validity check failed; V5: null in required field (pollster/date_published)
6ccae8aae22d6ae4b00d75d11b304cf55a31073db9611d555eeedf76adf4baaf,Verian(Emnid),NA,NA,NA,NA,unknown,3.159,06.09.–13.09.,42,26,11,7,0,7,NA,7,100,V3: date validity check failed; V5: null in required field (pollster/date_published)
7099b0aef5a973735a142e3c7f5e105bb45c72e32f9344dc58f8f11782b759e0,Verian(Emnid),NA,NA,NA,NA,unknown,NA,NA,40,37,6,9,0,4,NA,4,100,V3: date validity check failed; V5: null in required field (pollster/date_published)
4f80cd1185921576d4aad6a01c3a9520fa850a3f251ee14d04f35e0adcacf783,Verian(Emnid),NA,NA,NA,NA,unknown,NA,NA,38,34,7,11,0,6,NA,4,100,V3: date validity check failed; V5: null in required field (pollster/date_published)
fe240fced127658a1cad3c64c948f50cc895091dab96979d94545519e23bb49f,Verian(Emnid),NA,NA,NA,NA,unknown,1.174,20.09.–23.09.,40,28,11,7,0,8,NA,6,100,V3: date validity check failed; V5: null in required field (pollster/date_published)
e6da91037517b914a2b3745d00f64f326871068a84c69fd0d85fff5f6d558a8c,Verian(Emnid),NA,NA,NA,NA,unknown,NA,NA,41,34,7,9,0,4,NA,5,100,V3: date validity check failed; V5: null in required field (pollster/date_published)
190115ea9f88f5070cc943d1f6b51fd9f5b6c14645eb17f83cf4c8a356178204,Verian(Emnid),NA,NA,NA,NA,unknown,3.144,23.08.–30.08.,42,25,12,7,0,8,NA,6,100,V3: date validity check failed; V5: null in required field (pollster/date_published)
ee3a467f7a1f1be4638a825b3f4a2240fb7a6a7035dcd8bcd6f527f91a06226b,Verian(Emnid),NA,NA,NA,NA,unknown,NA,NA,40,34,6,9,0,6,NA,5,100,V3: date validity check failed; V5: null in required field (pollster/date_published)
ef6fe9c0ee6b89ecdcdbc76ff7a714aec619a59d3fb2e58f1df611dbd1d415ad,Verian(Emnid),NA,NA,NA,NA,unknown,3.573,25.04.–02.05.,45,29,9,7,0,5,NA,5,100,V3: date validity check failed; V5: null in required field (pollster/date_published)
a28cea92be691b7887d58cca9cac6a89abefad2df19e676116eb1068de6c968a,Verian(Emnid),NA,NA,NA,NA,unknown,2.822,30.08.–06.09.,42,25,11,8,0,8,NA,6,100,V3: date validity check failed; V5: null in required field (pollster/date_published)
85d598d8b5d455c4497f70f9520873e1dd7c3e98a687ac827e19bdff99dd8881,Verian(Emnid),NA,NA,NA,NA,unknown,NA,NA,40,34,7,8,0,6,NA,5,100,V3: date validity check failed; V5: null in required field (pollster/date_published)
e485ead8b7c80a34c9da6d151bb4a131b5f4e5f984832faeaf58e3e5d28c3869,Verian(Emnid),NA,NA,NA,NA,unknown,NA,NA,35,31,9,11,0,10,NA,4,100,V3: date validity check failed; V5: null in required field (pollster/date_published)
12e395a6ddda63fcbddf0c75614b70701b27109a61f66f9e4e6f6fbc2043509d,Verian(Emnid),NA,NA,NA,NA,unknown,NA,NA,37,33,7,9,0,10,NA,4,100,V3: date validity check failed; V5: null in required field (pollster/date_published)
21eff971ff27eadd4723619e40e012f74461623b0691a47e0f0d5ff373cb680f,Verian(Emnid),NA,NA,NA,NA,unknown,1.531,27.09.–30.09.,38,29,11,9,0,7,NA,6,100,V3: date validity check failed; V5: null in required field (pollster/date_published)
c0b29020b9a9a1774bcbc4d67fe3c01c8a239bef674c1d943fcd0ae4c0542291,Verian(Emnid),NA,NA,NA,NA,unknown,2.348,02.05.–09.05.,45,28,9,8,0,5,NA,5,100,V3: date validity check failed; V5: null in required field (pollster/date_published)
8adfc5de7704d859850418560db2ede0fc8fea2bb98cf91f6f7c862dd6ea719a,Verian(Emnid),NA,NA,NA,NA,unknown,NA,NA,39,35,6,10,0,5,NA,5,100,V3: date validity check failed; V5: null in required field (pollster/date_published)
22fe26d687ce9e306a9db3fa4eddac8e6a26a473df2a4a79a532947fc068e73f,Verian(Emnid),NA,NA,NA,NA,unknown,3.518,NA,37,39,7,8,0,5,NA,4,100,V3: date validity check failed; V5: null in required field (pollster/date_published)
